year,GDP_value,GDP_value_zscore,open,high,low,close,close_volatility,close_returns,close_yoy,GDP_value_yoy,CRI
2024,2.1,-0.023452611,0.924247698630137,0.9268569041095892,0.9220077260273972,0.9242475342465754,,0,0,0,0
2023,2.88755600906016,0.4018122022266172,0.9245861643835616,0.9276826849315069,0.9217227397260276,0.9245860821917808,,0.0366295751582868,0.0003385479452054,0.7875560090601601,0
2022,2.51237531983308,0.1992219815085851,0.9510128493150684,0.9553125479452056,0.9470323561643836,0.9510079178082192,0.0153533174505251,2.857693418205476,0.0264218356164384,-0.375180689,0.7508951456737288
2021,6.05505293304576,2.112198475773696,0.8456798082191781,0.8479424931506849,0.8437866301369863,0.8456445753424658,0.054819869932562,-11.07912358,-0.105363342,3.54267761321268,-2.239005842
2020,-2.163029139,-2.325404814,0.87720456284153,0.8799884426229507,0.8742281147540983,0.8771543715846994,0.0540811850902145,3.726127638136023,0.0315097962422336,-8.218082072,-1.325953856
2019,2.58382533018855,0.2378035870758673,0.8933219452054794,0.8953394520547945,0.891405095890411,0.8933032876712329,0.0242384254536506,1.841057470574792,0.0161489160865334,4.74685446918855,1.9860689521104629
2018,2.96650506916633,0.4444431477194155,0.847507808219178,0.8502505205479451,0.844889095890411,0.847497698630137,0.0232323686871911,-5.12766377,-0.045805589,0.3826797389777803,-1.414202262
2017,2.45762230322211,0.1696564253946861,0.8867862191780821,0.8891746849315069,0.8839537808219178,0.8867759726027397,0.0247774784689373,4.634617183750533,0.0392782739726026,-0.508882766,1.247631316729469
2016,1.81945147474293,-0.174943317,0.9035958469945354,0.9071397540983608,0.9003833606557377,0.9035820491803278,0.0287827534959022,1.89518853654338,0.0168060765775881,-0.638170828,0.38861841381762097
2015,2.94555045455233,0.4331280664223016,0.903942816091954,0.9083775,0.8995967528735632,0.9039449137931036,0.009809420831163,0.0401584574533098,0.0003628646127757,1.1260989798094,0.3538009995112782
